0x0000	0x00-1
0x029C	0x53CA
0x029D	0x53CD
0x029E	0x53D6
0x029F	0x53D4
0x02A0	0x53D7
0x02A1	0x53DB
0x02A2	0x53DF
0x02A3	0x66FC
0x02A4	0x53E2
0x02A5	0x53E3
0x02A6	0x53EF
0x02A7	0x53E4
0x02A8	0x53F3
0x02A9	0x53EC
0x02AA	0x53EE
0x02AB	0x53E9
0x02AC	0x53E8
0x02AD	0x53FC
0x02AE	0x53F8
0x02AF	0x53F5
0x02B0	0x53EB
0x02B1	0x53E6
0x02B2	0x53EA
0x02B3	0x53F2
0x02B4	0x53F1
0x02B5	0x53F0
0x02B6	0x53E5
0x02B7	0x53ED
0x02B8	0x5409
0x02B9	0x540F
0x02BA	0x540C
0x02BB	0x540A
0x02BC	0x5410
0x02BD	0x5401
0x02BE	0x540B
0x02BF	0x5404
0x02C0	0x5411
0x02C1	0x540D
0x02C2	0x5408
0x02C3	0x5403
0x02C4	0x540E
0x02C5	0x5406
0x02C6	0x5412
0x02C7	0x541D
0x02C8	0x542D
0x02C9	0x541E
0x02CA	0x543E
0x02CB	0x5426
0x02CC	0x544E
0x02CD	0x5427
0x02CE	0x5446
0x02CF	0x5443
0x02D0	0x5433
0x02D1	0x5448
0x02D2	0x5442
0x02D3	0x541B
0x02D4	0x5429
0x02D5	0x544A
0x02D6	0x5439
0x02D7	0x543B
0x02D8	0x5438
0x02D9	0x542E
0x02DA	0x5435
0x02DB	0x5436
0x02DC	0x5420
0x02DD	0x543C
0x02DE	0x5440
0x02DF	0x5431
0x02E0	0x542B
0x02E1	0x541F
0x02E2	0x5473
0x02E3	0x5475
0x02E4	0x5496
0x02E5	0x5478
0x02E6	0x5495
0x02E7	0x5480
0x02E8	0x547B
0x02E9	0x5477
0x02EA	0x5484
0x02EB	0x5492
0x02EC	0x5486
0x02ED	0x547C
0x02EE	0x5490
0x02EF	0x5471
0x02F0	0x5476
0x02F1	0x548C
0x02F2	0x549A
0x02F3	0x5462
0x02F4	0x5468
0x02F5	0x548B
0x02F6	0x547D
0x02F7	0x548E
0x02F8	0x54AC
0x02F9	0x54C0
0x02FA	0x54A8
0x02FB	0x54CE
0x02FC	0x54C9
0x02FD	0x54B8
0x02FE	0x54A6
0x02FF	0x54B3
0x0300	0x54C7
0x0301	0x54C2
0x0302	0x54BD
0x0303	0x54AA
0x0304	0x54C1
0x0305	0x54C4
0x0306	0x54C8
0x0307	0x54AF
0x0308	0x54AB
0x0309	0x54B1
0x030A	0x54BB
0x030B	0x54E8
0x030C	0x5510
0x030D	0x5501
0x030E	0x5537
0x030F	0x54FC
0x0310	0x54E5
0x0311	0x54F2
0x0312	0x5506
0x0313	0x54FA
0x0314	0x5514
0x0315	0x54E9
0x0316	0x54ED
0x0317	0x54E1
0x0318	0x5509
0x0319	0x54EE
0x031A	0x54EA
0x031B	0x54E6
0x031C	0x5527
0x031D	0x5546
0x031E	0x556A
0x031F	0x5566
0x0320	0x5544
0x0321	0x555E
0x0322	0x5561
0x0323	0x5543
0x0324	0x554A
0x0325	0x5531
0x0326	0x5556
0x0327	0x554F
0x0328	0x5555
0x0329	0x552F
0x032A	0x5564
0x032B	0x5538
0x032C	0x552E
0x032D	0x555C
0x032E	0x552C
0x032F	0x5563
0x0330	0x5533
0x0331	0x557B
0x0332	0x5580
0x0333	0x55A7
0x0334	0x557C
0x0335	0x558A
0x0336	0x559D
0x0337	0x5598
0x0338	0x5582
0x0339	0x559C
0x033A	0x55AA
0x033B	0x5594
0x033C	0x5587
0x033D	0x558B
0x033E	0x5583
0x033F	0x55B3
0x0340	0x55AE
0x0341	0x559F
0x0342	0x553E
0x0343	0x55B2
0x0344	0x559A
0x0345	0x55BB
0x0346	0x55AC
0x0347	0x55B1
0x0348	0x557E
0x0349	0x5589
0x034A	0x55DF
0x034B	0x55E8
0x034C	0x55D3
0x034D	0x55E6
0x034E	0x55CE
0x034F	0x55DC
0x0350	0x55C7
0x0351	0x55D1
0x0352	0x55E3
0x0353	0x55E4
0x0354	0x55EF
0x0355	0x55DA
0x0356	0x55E1
0x0357	0x55C5
0x0358	0x55C6
0x0359	0x55E5
0x035A	0x55FE
0x035B	0x5600
0x035C	0x561B
0x035D	0x5617
0x035E	0x55FD
0x035F	0x5614
0x0360	0x5606
0x0361	0x5609
0x0362	0x560D
0x0363	0x560E
0x0364	0x55F7
0x0365	0x5616
0x0366	0x561F
0x0367	0x5608
0x0368	0x562E
0x0369	0x563B
0x036A	0x5639
0x036B	0x5632
0x036C	0x563F
0x036D	0x5629
0x036E	0x5653
0x036F	0x564E
0x0370	0x5657
0x0371	0x5674
0x0372	0x5636
0x0373	0x562F
0x0374	0x5630
0x0375	0x5659
0x0376	0x566B
0x0377	0x5679
0x0378	0x5669
0x0379	0x5664
0x037A	0x5678
0x037B	0x5634
0x037C	0x566A
0x037D	0x5668
0x037E	0x5665
0x037F	0x5671
0x0380	0x566F
0x0381	0x566C
0x0382	0x5662
0x0383	0x568E
0x0384	0x5680
0x0385	0x5690
0x0386	0x5685
0x0387	0x5687
0x0388	0x568F
0x0389	0x5695
0x038A	0x56AE
0x038B	0x56A5
0x038C	0x56A8
0x038D	0x56B7
0x038E	0x56B6
0x038F	0x56B4
0x0390	0x56BC
0x0391	0x56C1
0x0392	0x56C0
0x0393	0x56C2
0x0394	0x56C8
0x0395	0x56CA
0x0396	0x56C9
0x0397	0x56CC
0x0398	0x56D1
0x0399	0x56DB
0x039A	0x56DA
0x039B	0x56E0
0x039C	0x56DE
0x039D	0x56EA
0x039E	0x56F0
0x039F	0x56E4
0x03A0	0x56FA
0x03A1	0x5703
0x03A2	0x5708
0x03A3	0x570B
0x03A4	0x570D
0x03A5	0x5712
0x03A6	0x5713
0x03A7	0x5718
0x03A8	0x5716
0x03A9	0x571F
0x03AA	0x5733
0x03AB	0x5730
0x03AC	0x5728
0x03AD	0x572D
0x03AE	0x572C
0x03AF	0x572F
0x03B0	0x574A
0x03B1	0x5751
0x03B2	0x5740
0x03B3	0x574D
0x03B4	0x5747
0x03B5	0x574E
0x03B6	0x573E
0x03B7	0x5750
0x03B8	0x574F
0x03B9	0x5783
0x03BA	0x5777
0x03BB	0x576A
0x03BC	0x5769
0x03BD	0x5761
0x03BE	0x5766
0x03BF	0x5764
0x03C0	0x577C
0x03C1	0x5782
0x03C2	0x578B
0x03C3	0x57A0
0x03C4	0x57A3
0x03C5	0x57A2
0x03C6	0x57CE
0x03C7	0x57AE
0x03C8	0x57C2
0x03C9	0x57D4
